,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,1987,11,28,6,2042.0,2025,2105.0,2053,PI,801,,23.0,28.0,,12.0,17.0,MIA,FLL,21.0,,,0,,0,,,,,
1,1987,10,22,4,1805.0,1800,1933.0,1905,HP,226,,88.0,65.0,,28.0,5.0,LAX,PHX,370.0,,,0,,0,,,,,
2,1987,11,19,4,657.0,655,821.0,804,PI,79,,84.0,69.0,,17.0,2.0,BOS,EWR,200.0,,,0,,0,,,,,
3,1987,11,23,1,1848.0,1835,1944.0,1920,DL,653,,116.0,105.0,,24.0,13.0,DFW,DEN,641.0,,,0,,0,,,,,
4,1987,11,25,3,703.0,655,828.0,821,AA,2277,,85.0,86.0,,7.0,8.0,SNA,OAK,371.0,,,0,,0,,,,,
5,1987,11,4,3,1643.0,1626,1900.0,1829,PI,27,,137.0,123.0,,31.0,17.0,DAY,TPA,828.0,,,0,,0,,,,,
6,1987,12,28,1,1730.0,1722,1902.0,1840,AA,2435,,92.0,78.0,,22.0,8.0,LAX,SMF,373.0,,,0,,0,,,,,
7,1987,10,30,5,1219.0,1217,,1252,AA,948,,,35.0,,,2.0,RSW,FLL,104.0,,,0,,1,,,,,
8,1987,11,14,6,1735.0,1730,1916.0,1922,EA,85,,101.0,112.0,,-6.0,5.0,ATL,MIA,595.0,,,0,,0,,,,,
9,1987,10,18,7,1655.0,1635,1847.0,1830,NW,430,,52.0,55.0,,17.0,20.0,MKE,DTW,238.0,,,0,,0,,,,,
10,1987,12,13,7,1440.0,1405,1730.0,1618,DL,1723,,170.0,133.0,,72.0,35.0,LAX,SEA,954.0,,,0,,0,,,,,
11,1987,10,24,6,1802.0,1750,2011.0,2009,PI,78,,129.0,139.0,,2.0,12.0,FLL,BWI,925.0,,,0,,0,,,,,
12,1987,10,18,7,2101.0,2052,2204.0,2156,PI,514,,63.0,64.0,,8.0,9.0,BWI,LGA,185.0,,,0,,0,,,,,
